EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,growth_cost,n_batch,n_start,n_candidates
2.9360258588460972,0.001,0.1,5.496364965208539,0.001,8.57336514891913,1.380551992885909,0.001,0.001,0.0001,0.0005,5.554512927737156,0.67318572865252,8.264799786889782,45.56745672257128,14.55460804907844,13.785874663355788,9.97196e-05,100,50,15
16.643227132466436,0.001,0.1,7.030255874254446,0.001,8.904934277045516,6.040635789012374,0.001,0.001,0.0001,0.0005,0.2665444061218847,9.989076431078463,0.5825078822897467,40.39527732572205,4.074038597790306,16.696016910509844,0.0007706763,100,50,15
35.0628656233473,0.001,0.1,6.907517926526473,0.001,2.2195092043129527,0.2929090697175818,0.001,0.001,0.0001,0.0005,7.8255190663417675,0.5275690765469832,1.2042395867441003,82.36374072983969,15.389915354549453,2.3609587447628932,4.2630207e-05,100,50,15
6.2667518575543095,0.001,0.1,9.37397194955141,0.001,5.077280422963323,6.922843040749714,0.001,0.001,0.0001,0.0005,2.146673618491551,4.648637372546318,11.899142177494577,5.940159361862829,8.986220013858643,15.24770213554142,0.00055546814,100,50,15
38.528395246804315,0.001,0.1,5.582576594945317,0.001,9.846250036017068,5.581963796202601,0.001,0.001,0.0001,0.0005,3.0480495457172943,1.23955463688031,15.983824695166572,40.135236961987765,14.807795052597786,13.051164276004032,6.8504785e-05,100,50,15
46.686817968927315,0.001,0.1,9.920501959169489,0.001,9.599096261059573,4.122960896146564,0.001,0.001,0.0001,0.0005,7.694711327162578,2.2540858886377446,14.325800040669307,65.36719567842079,5.336851272156009,17.85759055119453,0.00010994829,100,50,15
43.835519526054476,0.001,0.1,2.030417645696981,0.001,4.581475892772423,1.3604201344795452,0.001,0.001,0.0001,0.0005,6.8509664438449,3.381826178028403,6.581995477728437,23.651649283707243,7.001510369499908,1.8170856906630406,3.757097e-05,100,50,15
31.645230659469835,0.001,0.1,3.7253613249937114,0.001,7.678716029707244,6.868919600321633,0.001,0.001,0.0001,0.0005,6.045133745941293,3.7524359585665765,5.028862500548028,51.63933257457942,15.570323416003601,9.374820827906714,0.00023482683,100,50,15
16.333193651858934,0.001,0.1,7.398866654720807,0.001,8.06927953440667,7.867613043509381,0.001,0.001,0.0001,0.0005,9.961524464570799,3.785560069256466,10.948094246270037,52.94183381451367,7.430033907318245,13.327291764844523,0.00029426327,100,50,15
20.665004906821537,0.001,0.1,5.001809871790873,0.001,9.54072452367503,4.89172842095685,0.001,0.001,0.0001,0.0005,4.827213481128258,2.0593684071669225,8.605461121397209,54.54999007836309,4.527106404993533,5.580998678701079,0.00017553494,100,50,15
15.090811567173635,0.001,0.1,3.1863996482034693,0.001,6.23232539884131,6.468171139414329,0.001,0.001,0.0001,0.0005,0.691977837622485,8.427681864874723,9.83285142696123,88.32062766967115,0.9856958174879793,1.7851988971295185,9.176358e-05,100,50,15
43.22063197892857,0.001,0.1,6.769577167752541,0.001,4.864153321394183,5.082753859298755,0.001,0.001,0.0001,0.0005,4.639096767933023,7.563974105233325,11.564489552401456,34.21184604467182,4.9815481661707794,12.595351892768127,0.0003170096,100,50,15
16.458156757204677,0.001,0.1,3.2923754717190197,0.001,8.70078439071027,9.044221074883724,0.001,0.001,0.0001,0.0005,1.9211156740900437,1.228009158688389,10.66597870661707,20.334476153507808,10.281167157753583,10.777189808740967,0.00010982297,100,50,15
23.59289284840348,0.001,0.1,5.615764002669608,0.001,1.0358537408083923,9.1216279400248,0.001,0.001,0.0001,0.0005,1.9866021772592135,9.690136648545806,13.639979062079103,2.685552095970578,8.139733953284372,18.545490271750896,0.00041365455,100,50,15
3.5922203015243626,0.001,0.1,4.4698609422138755,0.001,5.041263663570571,4.117811257481621,0.001,0.001,0.0001,0.0005,8.13141447985043,4.886204924338516,7.701367930642908,30.13749210354184,12.171613514332488,7.0184095559153326,0.00043522482,100,50,15
42.084005944504064,0.001,0.1,5.894399134233381,0.001,5.167580570949754,5.659264281488451,0.001,0.001,0.0001,0.0005,7.8541450862280735,4.106088221885234,11.418566675735029,48.017477368398154,16.003667475595677,17.494129759251457,0.00022576019,100,50,15
19.531188260452936,0.001,0.1,8.449423502324786,0.001,5.62728296816021,5.9849759707562775,0.001,0.001,0.0001,0.0005,4.83426504754355,7.361730288468421,5.722735980482563,22.703727682511243,6.20417751654752,6.3021890331085935,0.00036923948,100,50,15
46.24111999358055,0.001,0.1,5.053732180803994,0.001,2.0172704457295856,8.11739804750897,0.001,0.001,0.0001,0.0005,2.790038494505911,4.467024513952655,9.872773023600178,25.285250788356194,6.423866044477595,0.9527321883573148,5.102244e-05,100,50,15
19.11470989218848,0.001,0.1,7.24285942749066,0.001,4.290878286276976,7.352724811116413,0.001,0.001,0.0001,0.0005,7.838670625943196,8.442953306931113,9.945770573632904,68.13590900706564,7.0442032267625,10.59505867602226,0.0004249402,100,50,15
29.161736255559738,0.001,0.1,9.250048346617822,0.001,9.843492060698715,4.432702365616282,0.001,0.001,0.0001,0.0005,0.5673940730379645,4.589166323023494,3.528080778499638,88.50070532922923,7.433274343370027,11.60817075529356,0.0003705227,100,50,15
39.66136898221337,0.001,0.1,8.642730625348992,0.001,5.363092447621379,2.9869187523909515,0.001,0.001,0.0001,0.0005,6.187167541413232,6.357073203518452,1.8261474038704306,46.51624535392217,0.6656645114480919,4.436647870266041,0.0002262628,100,50,15
