EX_cpd00013_b,EX_cpd00063_b,EX_cpd00027_b,EX_cpd00254_b,EX_cpd10516_b,EX_cpd00009_b,EX_cpd00205_b,EX_cpd00048_b,EX_cpd00011_b,EX_cpd00067_b,EX_cpd00001_b,EX_cpd00007_b,growth rate,cost,production rate,is pareto,n_candidates
1.249307614902232,7.407356059695683,8.952328329658567,7.243518651940959,0.24662655448438153,24.000770880159976,15.288047375975228,8.455994953279765,3.5879644077805226,5.2088081986910115,7.224242326294994,16.576253507592316,0.15487495,1396.4951,1e-04,False,10
0.6459169808520027,5.372660620573864,6.387609774476401,6.3542566151259905,9.75379298832803,22.69021668536112,2.225709682832764,4.740440892006829,3.6780216707213507,3.2731528262881806,1.3654585498800054,12.0097801643253,0.079881355,944.00494,1e-04,False,10
1.962743927892755,2.2351688812801065,5.696904329509073,0.21506263407560455,0.3830935892758902,14.85620119119182,18.014708636856252,5.865940886195574,0.8412806552971985,4.580425846906676,5.363190182425508,10.962804879177595,0.22946692,943.75433,1e-04,False,10
8.317759396433281,3.2689380795217304,1.66984195719719,7.941646241400279,0.4886266033112574,32.938742882117424,18.83352896927174,5.379454356281327,0.7601176263671872,8.890323738033361,8.74633495276423,8.983112298794733,0.20355311,1574.2775,1e-04,False,10
2.5073808985883717,6.97981185600796,5.736395105536826,0.5271510756084108,1.2675856878866854,43.10565608212148,17.52826118905067,8.287756541869774,1.8795984655527653,5.1397857302482866,5.638876929646956,15.268220985974972,0.24272078,1739.2369,1e-04,False,10
6.820112100275269,4.972496321532737,9.791563658948462,1.9629427525621612,1.4265564278151,38.55480989546097,11.434181761950615,6.172169646632018,1.937688104648303,5.324148838042863,6.166201202846238,3.1227330893076277,0.3698641,1531.5288,1e-04,False,10
2.177666263811725,8.224180017394312,7.470759908591525,5.869932629541159,6.340422637874913,48.21848662987224,10.763885000484963,9.550383967336678,3.329102874120391,3.9198633625812453,0.2227562724823895,14.756468827514897,0.27025783,1877.4735,1e-04,False,10
8.221927335446628,9.653755183945314,8.011603311058614,6.279858065325243,5.875083776273774,23.89169052347066,18.928594146856007,8.0125356739943,5.689509644366217,7.323097195741441,7.761905281543132,10.081383151576214,0.40935364,1547.1625,1e-04,False,10
1.1987120307553811,1.2992464606838294,1.4240277404004198,6.515556768573212,6.114551398475808,26.34717467761753,6.497768634276689,7.42979702641388,6.471323789116897,7.0407555254077225,5.535309900188762,17.941662000389393,0.110916644,1066.0908,1e-04,False,10
8.411213248631977,0.6153789524313369,3.054115514838603,1.8819138153646287,9.316057712991748,23.353542988231123,5.430189241988057,6.973235814968389,4.416926534117857,2.015225276393824,5.041523633127393,12.930187695783705,0.2267841,949.96155,1e-04,False,10
2.449632846249864,4.647971299659348,3.7446129535022825,4.431120105425625,5.5392326116553035,13.805059833630374,0.7791155619120627,5.2179384235539565,5.68716973040519,3.1639485146981694,0.26966414062197464,8.342362830345298,0.16892813,662.318,1e-04,False,10
3.655211069742166,0.12675048940596456,9.324007589833256,5.869130548039415,2.079561962373375,18.06888828932876,11.345756637661534,9.110173075801818,3.4529146746661166,4.997786125521765,2.32327600927409,6.395838697926823,0.36380115,1057.4255,1e-04,False,10
8.724723798573727,8.551324320032446,9.913536446756687,3.3599459182353253,0.26185717910826356,33.53137501070229,7.128864114810058,1.3270687486588362,1.424831410288926,7.898849378181204,8.156024716819687,1.5222103458846403,0.37717947,1343.1318,1e-04,False,10
3.2538925946732755,6.571051388094263,3.2763241024640912,5.413819444213843,9.245739673838578,36.42565275926676,3.277511526123724,5.779327824952986,4.931816004110358,7.534603681013983,9.496438576308337,18.951246416830983,0.19905142,1313.3165,1e-04,False,10
9.076646944802118,7.469198374557102,8.99776162764367,3.3502735628657754,2.100728328521584,29.853009235676094,3.413464628558298,1.79910336673338,4.447097365114146,4.379494912910463,1.8303660976098923,9.800618035174853,0.42351186,1165.5032,1e-04,False,10
7.000416546095618,5.258093836893898,6.862785343602445,1.8697091776926467,2.305051274884342,40.33218144930402,18.893529907424284,8.530371848000202,7.626907177101138,1.6716498363854748,1.0716616338714002,14.898473704583246,0.31625694,1756.0754,1e-04,False,10
1.4860094337300966,7.291756929479458,1.5094348057641436,5.920632399925738,0.8825077506978041,43.10034586424546,15.506569585261861,2.8625780083681187,1.5127319269130546,1.1294386312561233,8.465772347196484,16.584734652577193,0.074270755,1658.8774,1e-04,False,10
5.271002689098745,0.5606630612440722,8.609860229304761,8.36356820127791,2.030647825189141,39.81782023386297,10.751006335988178,0.9762780905652724,7.881657130779834,7.475994838162091,9.654709582326896,11.787157851448365,0.38473332,1465.3645,1e-04,False,10
1.9828521624696382,9.761480793212895,9.008181355634637,8.57312879959607,9.016441969952764,14.693650873009439,13.243732351644548,9.542148027220081,9.71205847616233,5.468310775481319,9.237621103876974,12.772374184085194,0.246045,1233.3579,1e-04,False,10
5.309798941888576,1.1187217293078389,7.019916052579664,7.90157862801704,7.645939589916085,44.67026502508403,15.724382554260863,1.3966197062898877,3.771564955670572,8.39742712765979,7.549536949432944,16.564843559181487,0.34540483,1680.483,1e-04,False,10
5.3144573159182675,7.054160656377154,5.9356849687915,9.376527640375086,3.948223658713743,33.69433257941255,5.1551796734591,4.951918265753666,4.326087798476809,2.293178104792901,6.2295998009965174,4.922869449949989,0.2634477,1397.9932,1e-04,False,10
6.843858826924157,5.134656766314575,7.443938415542815,3.8138830620028363,4.4743113414678675,49.463227539437135,15.712201991965486,1.5144964271581707,9.374577382937565,5.4243557499840485,4.290956701295126,11.435692875913055,0.35854527,1807.7504,1e-04,False,10
