EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,growth rate,cost,production rate,is pareto
18.043561563410453,0.001,0.1,5.023554109473114,0.001,4.241354237763582,5.351891449620116,0.001,0.001,0.0001,0.0005,4.22537900993046,7.381600746012382,11.173219100160534,25.71675291262516,12.303341098498917,13.472289718475547,7.924634935063165,8.990596249794963,7.052847544002104,0.85,2903.955,0.0031729832,False
16.259425079997825,0.001,0.1,5.2548791681957425,0.001,7.27038929373613,6.306582336743153,0.001,0.001,0.0001,0.0005,3.410029838649451,0.864881312992033,12.295552053006148,66.51686146947515,13.848392383044143,15.615808581655067,1.916780863333487,2.2388853537835085,4.273017188078564,0.85,1709.2594,0.0025041413,False
34.93499227272942,0.001,0.1,5.823522354185993,0.001,2.20341435299801,1.673743557290539,0.001,0.001,0.0001,0.0005,9.944125697567685,7.96789289767391,14.20882263855776,92.08608258293486,4.865883355178619,6.45797106775859,6.115844609581341,4.03362739804619,0.4028356178838477,0.53782624,2247.1902,0.0,False
40.06820470895682,0.001,0.1,6.7357765792066715,0.001,9.42564386632961,7.351948993821972,0.001,0.001,0.0001,0.0005,8.564974156401512,2.260001538649321,1.5318858927443935,11.822877492567729,11.732536957092172,2.22296370288938,1.5339040687069916,4.352408683686689,4.393510049313456,0.35178006,2394.4033,0.0,False
28.33498177358389,0.001,0.1,2.1364158010825234,0.001,5.326417646709665,6.317534889672459,0.001,0.001,0.0001,0.0005,7.83987041184014,1.7390869184767144,18.0488456891475,47.840875541621344,16.271087619880674,5.463058290549645,8.949380220265859,3.312987404563079,2.6860885683469125,0.34713534,2548.5352,0.0,False
28.63402313043,0.001,0.1,6.277778380093967,0.001,5.715958275502636,0.6476137873855037,0.001,0.001,0.0001,0.0005,6.94709638000326,8.426086151751358,6.052848953161993,43.450767222700804,9.765410286653225,12.699685500990189,4.706077411895445,3.912534627371158,7.029357976371201,0.85,2375.3604,0.002651045,False
46.37761453107867,0.001,0.1,6.66413421607348,0.001,6.417874794052706,4.986101888030441,0.001,0.001,0.0001,0.0005,2.1774425739473657,6.883669168430037,17.700257162704972,48.21290142547655,8.399393019197001,18.275607510453153,6.410645427128584,2.226950485186828,0.5042303179009833,0.85,2451.3503,0.008331327,False
16.494142484978603,0.001,0.1,4.331344147182534,0.001,5.080725233855415,2.7478665926856727,0.001,0.001,0.0001,0.0005,0.8920241130256823,9.03858246736785,12.128518572386522,54.650169482640486,1.5891975380201706,9.36718624375601,8.228388139134328,3.855288567247964,9.022973100492164,0.6955043,2459.9714,0.0,False
34.178404341977206,0.001,0.1,6.974268845451678,0.001,7.441512421541638,6.732462249464076,0.001,0.001,0.0001,0.0005,3.2716914984922854,8.08771992534371,12.987710100212663,38.59320407739517,14.41123163258579,18.574295820764267,6.98707028650407,6.705357190100825,7.641199739332797,0.85,3189.014,0.015854439,False
0.9429334987639426,0.001,0.1,2.7798331361124142,0.001,0.24918847837023472,3.179328558844947,0.001,0.001,0.0001,0.0005,5.2728325049752325,8.777176406028426,10.747570470218445,70.79701072737832,8.023676533615898,13.729198211471038,7.1309535804099164,2.1650400862028842,2.8429964223759994,0.70559657,1352.5525,0.0,False
