EX_pi_e,EX_glc__D_e,EX_mg2_e,EX_ca2_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e
0.0,4.544042356471627,0.0,1.4885539624901543,1.1705608224995805,4.753369508121022,0.0,46.36885145423924,0.0,9.353607511029477
1.0690017218829788,10.0,1.0365144097319363,1.00111559474016,1.594616569816061,9.793534931093152,1.5853513248642237,0.0,7.678538905475426,20.0
5.540547363307047,10.0,3.7726376609316947,1.641767209688527,2.587399834870552,10.0,3.17955414499058,0.0,10.62057027212121,20.0
1.6739178000224624,8.005545403181262,1.0435591792787937,1.239688268878685,0.2580785734204236,10.0,1.568400722294549,25.717238694456128,8.547850253854056,20.0
1.743404337617789,7.935159316918692,1.50938756177982,1.3046717303220021,0.901793631662503,10.0,0.3057308864262768,53.347402115134756,8.054585333940395,20.0
0.0,1.0,0.6743977316085712,0.0,0.0,0.0,0.0,96.00951100529478,0.0,20.0
0.4723724565115943,5.102379086950898,1.2490718894250186,0.7556813107248833,0.4569482709149298,5.574471626928399,0.6297298840541509,100.0,1.9049179030505425,20.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.31891329616333,0.0,5.17227553381259
0.0,3.663989810441163,1.5561909245851122,0.0030683520859896844,0.0,5.681022578197372,0.22975966286237434,100.0,1.580875259032872,20.0
0.06031790453744733,2.7727832084417243,1.696648342899449,0.014360632122989568,0.3866905487230412,8.243871415556347,0.025377560889145688,97.71639717010432,4.049456393189737,20.0
0.05807168744556113,3.503844826276491,1.4902035241477285,0.2804845374943324,0.3024332903176393,5.90321269997075,0.2750627058205604,100.0,2.9383064239365,19.99916298202049
0.05301264953748738,4.875709628307774,0.6289880583977856,0.5052663439979057,0.756882927616302,3.3326304239550177,0.6803346343858834,100.0,0.8267093807911865,20.0
0.3393446637562629,4.000412677795531,1.391144711709706,0.3494333575117001,0.4117110754658818,6.382002064564736,0.4749709877369406,100.0,2.630327942370277,20.0
0.27399000160091574,3.5774657246920727,1.3156942191208156,0.1927925910951364,0.409164613533051,6.355496071409296,0.44036707814874065,100.0,2.3201735796424154,20.0
1.5547930911727486,7.417178325966964,1.0970741129946129,1.308933437316503,1.1063998336808296,7.656074175021196,0.6748255529894605,71.08781092644485,2.4906083852539105,19.314183239516513
1.606822690245192,6.9504659997365,1.208216349977328,1.098200077802824,1.0007274209292156,6.777583133413739,0.5930037979159691,61.125915778178154,0.03697835080761567,20.0
1.673213582753922,7.706861056988765,1.1168686307355493,1.4543863728670026,1.2289839131645601,7.984160732624002,0.700887543104654,53.18171095578609,3.0540970934569516,19.18351322157899
2.432883167663612,10.0,2.0754614361868002,1.572928729004241,2.1749748322036364,9.775221250172027,1.3971703746859951,0.0,9.712920930059761,20.0
0.916119280998565,6.719935775856438,1.296941985271204,1.4476878820720755,0.8735432128121957,6.313331610251225,0.6884046575766954,100.0,2.9404193306672113,18.84179837425124
0.5468211662537981,6.1418670512126265,1.3675883950704626,1.1888472133295,0.6816419071853899,5.865716864388151,0.5663994322839381,100.0,1.5362744958280272,20.0
0.5907858829132665,6.581111580326016,1.3834324420435067,1.4323028905354862,0.4771021694340417,5.949631584129124,0.5383946895653215,100.0,3.197274993343187,20.0
0.5459810540175007,6.567490089924116,1.3808851465234506,1.442307809436356,0.4041675994224036,5.8353111051694695,0.5053742499161838,100.0,3.1673401898058176,20.0
0.6180070086148187,6.596273301203452,1.454576555201805,1.456325203585844,0.6766243049418019,6.029683258786958,0.5093476368688655,100.0,3.0428454109488285,20.0
0.8981879311585135,7.267304793117739,1.4167303468375128,1.6639218637653137,0.8477660534495439,6.684917920085019,0.7774813226711142,100.0,3.7947157583034317,20.0
1.5559360421128476,8.307860572372473,0.6222570945254389,1.1804876935443724,1.0787070479200873,8.256795349676123,1.0661055479841157,100.0,14.322304611129313,19.612085964102246
0.6933102694755511,7.063751218052611,1.7952919422230151,1.6549925585273917,0.7732535039710646,6.3512933579957656,0.3017260017468358,100.0,3.150004805542075,20.0
0.9184236036194474,7.222278432258857,1.2930010593989205,1.7518804398197763,0.8788196506246004,6.559935285766234,0.8107652862485926,100.0,3.31343091127456,20.0
2.3892618012074958,10.0,1.7749775337899352,1.6574989204059505,1.9678386597774895,9.480312368498385,1.9917474505992716,0.0,7.540394180796071,20.0
0.0,1.0,0.654968418031701,0.0,0.9308137707795541,2.4503623321803927,1.2956215611344737,100.0,1.7838054814835747,10.830901350196216
0.6582234171630982,7.12710846577138,1.0183725546185434,1.1625124634744575,0.6058785087635783,6.245082325255011,1.2525738058144888,92.51109782186964,3.6293267771571243,19.99993859536413
1.2663553824351288,7.875658407431546,0.8081560104516943,1.9545402792835855,1.3053922052082678,7.479390524793217,1.4579158907959395,100.0,4.658793354304141,18.17726898183839
0.6603338018305582,6.836816753953623,1.0950173929204223,1.3527962209115167,0.7188831536479,6.111424023052072,0.9469226132724972,100.0,3.8446095045292648,19.991649594979148
0.5258589336160022,6.377705305673475,1.3044984782610847,1.156246451007153,0.19822453701581916,5.726604548513922,0.780501699539909,100.0,3.553265805696588,20.0
1.527550289598569,7.458325911010271,1.7267627793094256,1.324960633144304,0.9056766799496412,7.112083088724192,0.6332953720335738,49.83651048815178,4.295853279796119,20.0
1.388769270956227,7.286612163806973,1.6902476756739861,1.2180055653191144,0.8043085631959088,6.725096240250226,0.6130478761514454,64.47965158645987,4.061456317976231,20.0
0.5183332688026332,6.460899126156207,1.1572293922266217,0.9022594594841082,0.5980416911768224,5.649020382833109,0.5937789172159157,90.96232566598093,3.5660257481872755,20.0
0.8045246430703574,6.52690699857757,1.380361913132829,1.1293544565676126,0.6127328404531428,6.103439560922257,0.693305953338732,98.0945710568111,3.7699791884777802,20.0
0.37441764169931074,4.453122695896087,1.3315759240178764,0.44518153551417095,0.41726126689389686,5.209203381664095,0.5031693793859311,100.0,3.014167787341466,20.0
0.506309705939988,5.601347461766229,1.333032274790495,0.789788130741188,0.49302491711333096,5.468997374843678,0.592668737664899,89.62938305290832,3.2960326634641524,20.0
0.40569862989287875,4.980511265649417,1.321079930045733,0.595134135731153,0.44745191951266217,5.291661931008825,0.5425646435975093,100.0,3.123478233941851,20.0
1.7834099285626812,8.413450380388557,1.4116230729926247,1.6412731917361334,1.1068072982227413,7.999425935873693,1.0715457020371102,52.183603517987045,5.843781650474325,19.08427407283831
0.6404390939832866,6.29799841776299,1.3072228998597244,1.181792760728133,0.3607106434615248,5.7342763074413385,0.6777514396171825,100.0,3.636363587940878,20.0
